span_in,depth_in,width_in,fc_psi,ncell,k_spring_lbf_per_in,n_springs_full,n_springs_half,spring_nodes,spring_z_locs,near_count,far_count,full_defl_in,half_defl_in,full_defl_ratio,half_defl_ratio,half_minus_full_in,status,note
600,54,672,5000.0,8,100000000.0,4,2,16424-16396-16392-16364,135.6-135.6-464.4-464.5,2,2,0.0293,0.0469,0.039,0.063,0.0177,OK,PRELIMINARY-spring_overgrab
720,43,480,4000.0,6,1000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.1356,0.1774,0.151,0.197,0.0418,OK,PRELIMINARY-spring_overgrab
720,43,480,4000.0,6,5000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.0776,0.144,0.086,0.16,0.0664,OK,PRELIMINARY-spring_overgrab
720,43,480,4000.0,6,100000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.0442,0.1144,0.049,0.127,0.0702,OK,PRELIMINARY-spring_overgrab
720,43,480,5000.0,6,1000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.1251,0.1604,0.139,0.178,0.0353,OK,PRELIMINARY-spring_overgrab
720,43,480,5000.0,6,5000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.0722,0.1309,0.08,0.145,0.0586,OK,PRELIMINARY-spring_overgrab
720,43,480,5000.0,6,100000000.0,4,2,13532-13520-13562-13490,174.0-186.0-534.0-546.0,2,2,0.0397,0.1026,0.044,0.114,0.0628,OK,PRELIMINARY-spring_overgrab
720,43,672,4000.0,8,1000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.1496,0.1833,0.166,0.204,0.0337,OK,PRELIMINARY-spring_overgrab
720,43,672,4000.0,8,5000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.0925,0.154,0.103,0.171,0.0615,OK,PRELIMINARY-spring_overgrab
720,43,672,4000.0,8,100000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.0525,0.1225,0.058,0.136,0.07,OK,PRELIMINARY-spring_overgrab
720,43,672,5000.0,8,1000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.1371,0.1653,0.152,0.184,0.0282,OK,PRELIMINARY-spring_overgrab
720,43,672,5000.0,8,5000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.0859,0.1397,0.095,0.155,0.0539,OK,PRELIMINARY-spring_overgrab
720,43,672,5000.0,8,100000000.0,4,2,18661-18657-18691-18627,172.8-185.2-534.8-547.2,2,2,0.0473,0.1099,0.053,0.122,0.0626,OK,PRELIMINARY-spring_overgrab
720,54,480,4000.0,6,1000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.1025,0.1228,0.114,0.136,0.0203,OK,PRELIMINARY-spring_overgrab
720,54,480,4000.0,6,5000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.0666,0.1064,0.074,0.118,0.0398,OK,PRELIMINARY-spring_overgrab
720,54,480,4000.0,6,100000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.0396,0.0873,0.044,0.097,0.0476,OK,PRELIMINARY-spring_overgrab
720,54,480,5000.0,6,1000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.0937,0.1106,0.104,0.123,0.0169,OK,PRELIMINARY-spring_overgrab
720,54,480,5000.0,6,5000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.0616,0.0963,0.068,0.107,0.0347,OK,PRELIMINARY-spring_overgrab
720,54,480,5000.0,6,100000000.0,4,2,14282-14270-14312-14240,174.0-186.0-534.0-546.0,2,2,0.0357,0.0783,0.04,0.087,0.0426,OK,PRELIMINARY-spring_overgrab
720,54,672,4000.0,8,1000000.0,4,2,19657-19653-19687-19623,172.8-185.2-534.8-547.2,2,2,0.11,0.1255,0.122,0.139,0.0156,OK,PRELIMINARY-spring_overgrab
720,54,672,4000.0,8,5000000.0,4,2,19657-19653-19687-19623,172.8-185.2-534.8-547.2,2,2,0.0771,0.1118,0.086,0.124,0.0347,OK,PRELIMINARY-spring_overgrab
720,54,672,4000.0,8,100000000.0,4,2,19657-19653-19687-19623,172.8-185.2-534.8-547.2,2,2,0.0466,0.0921,0.052,0.102,0.0455,OK,PRELIMINARY-spring_overgrab
720,54,672,5000.0,8,1000000.0,4,2,19657-19653-19687-19623,172.8-185.2-534.8-547.2,2,2,0.1,0.1128,0.111,0.125,0.0128,OK,PRELIMINARY-spring_overgrab
720,54,672,5000.0,8,5000000.0,4,2,19657-19653-19687-19623,172.8-185.2-534.8-547.2,2,2,0.071,0.101,0.079,0.112,0.03,OK,PRELIMINARY-spring_overgrab
720,54,672,5000.0,8,100000000.0,4,2,19657-19653-19687-19623,172.8-185.2-534.8-547.2,2,2,0.0419,0.0826,0.047,0.092,0.0406,OK,PRELIMINARY-spring_overgrab
720,65,480,4000.0,6,1000000.0,4,2,15033-15021-15063-14991,174.0-186.0-534.0-546.0,2,2,0.0799,0.0907,0.089,0.101,0.0108,OK,PRELIMINARY-spring_overgrab
720,65,480,4000.0,6,5000000.0,4,2,15033-15021-15063-14991,174.0-186.0-534.0-546.0,2,2,0.0572,0.082,0.064,0.091,0.0248,OK,PRELIMINARY-spring_overgrab
720,65,480,4000.0,6,100000000.0,4,2,15033-15021-15063-14991,174.0-186.0-534.0-546.0,2,2,0.0359,0.0698,0.04,0.078,0.0339,OK,PRELIMINARY-spring_overgrab
720,65,480,5000.0,6,1000000.0,4,2,15033-15021-15063-14991,174.0-186.0-534.0-546.0,2,2,0.0725,0.0814,0.081,0.09,0.0089,OK,PRELIMINARY-spring_overgrab
720,65,480,5000.0,6,5000000.0,4,2,15033-15021-15063-14991,174.0-186.0-534.0-546.0,2,2,0.0526,0.074,0.058,0.082,0.0214,OK,PRELIMINARY-spring_overgrab
720,65,480,5000.0,6,100000000.0,4,2,15033-15021-15063-14991,174.0-186.0-534.0-546.0,2,2,0.0323,0.0626,0.036,0.07,0.0303,OK,PRELIMINARY-spring_overgrab
720,65,672,4000.0,8,1000000.0,4,2,20657-20653-20687-20623,172.8-185.2-534.8-547.2,2,2,0.084,0.092,0.093,0.102,0.008,OK,PRELIMINARY-spring_overgrab
720,65,672,4000.0,8,5000000.0,4,2,20657-20653-20687-20623,172.8-185.2-534.8-547.2,2,2,0.0644,0.085,0.072,0.094,0.0205,OK,PRELIMINARY-spring_overgrab
720,65,672,4000.0,8,100000000.0,4,2,20657-20653-20687-20623,172.8-185.2-534.8-547.2,2,2,0.0417,0.0726,0.046,0.081,0.0309,OK,PRELIMINARY-spring_overgrab
720,65,672,5000.0,8,1000000.0,4,2,20657-20653-20687-20623,172.8-185.2-534.8-547.2,2,2,0.076,0.0825,0.084,0.092,0.0065,OK,PRELIMINARY-spring_overgrab
720,65,672,5000.0,8,5000000.0,4,2,20657-20653-20687-20623,172.8-185.2-534.8-547.2,2,2,0.059,0.0766,0.066,0.085,0.0175,OK,PRELIMINARY-spring_overgrab
720,65,672,5000.0,8,100000000.0,4,2,20657-20653-20687-20623,172.8-185.2-534.8-547.2,2,2,0.0375,0.0651,0.042,0.072,0.0276,OK,PRELIMINARY-spring_overgrab
900,54,480,4000.0,6,1000000.0,4,2,17811-17792-17849-17754,210.0-234.0-666.0-690.0,2,2,0.2044,0.2745,0.182,0.244,0.0702,OK,PRELIMINARY-spring_overgrab
900,54,480,4000.0,6,5000000.0,4,2,17811-17792-17849-17754,210.0-234.0-666.0-690.0,2,2,0.1144,0.2226,0.102,0.198,0.1082,OK,PRELIMINARY-spring_overgrab
900,54,480,4000.0,6,100000000.0,4,2,17811-17792-17849-17754,210.0-234.0-666.0-690.0,2,2,0.0645,0.1778,0.057,0.158,0.1132,OK,PRELIMINARY-spring_overgrab
900,54,480,5000.0,6,1000000.0,4,2,17811-17792-17849-17754,210.0-234.0-666.0-690.0,2,2,0.1888,0.2482,0.168,0.221,0.0594,OK,PRELIMINARY-spring_overgrab
900,54,480,5000.0,6,5000000.0,4,2,17811-17792-17849-17754,210.0-234.0-666.0-690.0,2,2,0.1066,0.2022,0.095,0.18,0.0957,OK,PRELIMINARY-spring_overgrab
900,54,480,5000.0,6,100000000.0,4,2,17811-17792-17849-17754,210.0-234.0-666.0-690.0,2,2,0.0581,0.1594,0.052,0.142,0.1013,OK,PRELIMINARY-spring_overgrab
900,54,672,4000.0,8,1000000.0,4,2,24424-24412-24461-24375,222.0-234.0-666.0-678.0,2,2,0.2209,0.2806,0.196,0.249,0.0597,OK,PRELIMINARY-spring_overgrab
900,54,672,4000.0,8,5000000.0,4,2,24424-24412-24461-24375,222.0-234.0-666.0-678.0,2,2,0.1298,0.2323,0.115,0.206,0.1025,OK,PRELIMINARY-spring_overgrab
900,54,672,4000.0,8,100000000.0,4,2,24424-24412-24461-24375,222.0-234.0-666.0-678.0,2,2,0.0709,0.1825,0.063,0.162,0.1117,OK,PRELIMINARY-spring_overgrab
900,54,672,5000.0,8,1000000.0,4,2,24424-24412-24461-24375,222.0-234.0-666.0-678.0,2,2,0.2031,0.2532,0.18,0.225,0.0501,OK,PRELIMINARY-spring_overgrab
900,54,672,5000.0,8,5000000.0,4,2,24424-24412-24461-24375,222.0-234.0-666.0-678.0,2,2,0.1209,0.211,0.107,0.188,0.0901,OK,PRELIMINARY-spring_overgrab
900,54,672,5000.0,8,100000000.0,4,2,24424-24412-24461-24375,222.0-234.0-666.0-678.0,2,2,0.0638,0.1637,0.057,0.146,0.0999,OK,PRELIMINARY-spring_overgrab
900,68,480,4000.0,6,1000000.0,4,2,18747-18728-18785-18690,210.0-234.0-666.0-690.0,2,2,0.1569,0.191,0.139,0.17,0.034,OK,PRELIMINARY-spring_overgrab
900,68,480,4000.0,6,5000000.0,4,2,18747-18728-18785-18690,210.0-234.0-666.0-690.0,2,2,0.0995,0.1651,0.088,0.147,0.0656,OK,PRELIMINARY-spring_overgrab
900,68,480,4000.0,6,100000000.0,4,2,18747-18728-18785-18690,210.0-234.0-666.0-690.0,2,2,0.0581,0.1359,0.052,0.121,0.0778,OK,PRELIMINARY-spring_overgrab
900,68,480,5000.0,6,1000000.0,4,2,18747-18728-18785-18690,210.0-234.0-666.0-690.0,2,2,0.1435,0.1719,0.128,0.153,0.0284,OK,PRELIMINARY-spring_overgrab
900,68,480,5000.0,6,5000000.0,4,2,18747-18728-18785-18690,210.0-234.0-666.0-690.0,2,2,0.0922,0.1495,0.082,0.133,0.0573,OK,PRELIMINARY-spring_overgrab
900,68,480,5000.0,6,100000000.0,4,2,18747-18728-18785-18690,210.0-234.0-666.0-690.0,2,2,0.0523,0.1218,0.046,0.108,0.0695,OK,PRELIMINARY-spring_overgrab
900,68,672,4000.0,8,1000000.0,4,2,25679-25667-25716-25630,222.0-234.0-666.0-678.0,2,2,0.1655,0.1931,0.147,0.172,0.0275,OK,PRELIMINARY-spring_overgrab
900,68,672,4000.0,8,5000000.0,4,2,25679-25667-25716-25630,222.0-234.0-666.0-678.0,2,2,0.1105,0.1698,0.098,0.151,0.0593,OK,PRELIMINARY-spring_overgrab
900,68,672,4000.0,8,100000000.0,4,2,25679-25667-25716-25630,222.0-234.0-666.0-678.0,2,2,0.063,0.1381,0.056,0.123,0.0751,OK,PRELIMINARY-spring_overgrab
900,68,672,5000.0,8,1000000.0,4,2,25679-25667-25716-25630,222.0-234.0-666.0-678.0,2,2,0.1508,0.1736,0.134,0.154,0.0228,OK,PRELIMINARY-spring_overgrab
900,68,672,5000.0,8,5000000.0,4,2,25679-25667-25716-25630,222.0-234.0-666.0-678.0,2,2,0.1022,0.1536,0.091,0.137,0.0514,OK,PRELIMINARY-spring_overgrab
900,68,672,5000.0,8,100000000.0,4,2,25679-25667-25716-25630,222.0-234.0-666.0-678.0,2,2,0.0568,0.1238,0.05,0.11,0.0671,OK,PRELIMINARY-spring_overgrab
900,81,480,4000.0,6,1000000.0,4,2,19686-19667-19724-19629,210.0-234.0-666.0-690.0,2,2,0.1247,0.1434,0.111,0.127,0.0187,OK,PRELIMINARY-spring_overgrab
900,81,480,4000.0,6,5000000.0,4,2,19686-19667-19724-19629,210.0-234.0-666.0-690.0,2,2,0.0874,0.1293,0.078,0.115,0.0419,OK,PRELIMINARY-spring_overgrab
900,81,480,4000.0,6,100000000.0,4,2,19686-19667-19724-19629,210.0-234.0-666.0-690.0,2,2,0.0541,0.11,0.048,0.098,0.0559,OK,PRELIMINARY-spring_overgrab
900,81,480,5000.0,6,1000000.0,4,2,19686-19667-19724-19629,210.0-234.0-666.0-690.0,2,2,0.1134,0.1288,0.101,0.115,0.0154,OK,PRELIMINARY-spring_overgrab
900,81,480,5000.0,6,5000000.0,4,2,19686-19667-19724-19629,210.0-234.0-666.0-690.0,2,2,0.0805,0.1167,0.072,0.104,0.0362,OK,PRELIMINARY-spring_overgrab
900,81,480,5000.0,6,100000000.0,4,2,19686-19667-19724-19629,210.0-234.0-666.0-690.0,2,2,0.0486,0.0986,0.043,0.088,0.0499,OK,PRELIMINARY-spring_overgrab
900,81,672,4000.0,8,1000000.0,4,2,26922-26910-26959-26873,222.0-234.0-666.0-678.0,2,2,0.1295,0.1444,0.115,0.128,0.0149,OK,PRELIMINARY-spring_overgrab
900,81,672,4000.0,8,5000000.0,4,2,26922-26910-26959-26873,222.0-234.0-666.0-678.0,2,2,0.0954,0.1321,0.085,0.117,0.0367,OK,PRELIMINARY-spring_overgrab
900,81,672,4000.0,8,100000000.0,4,2,26922-26910-26959-26873,222.0-234.0-666.0-678.0,2,2,0.0587,0.1115,0.052,0.099,0.0528,OK,PRELIMINARY-spring_overgrab
900,81,672,5000.0,8,1000000.0,4,2,26922-26910-26959-26873,222.0-234.0-666.0-678.0,2,2,0.1173,0.1296,0.104,0.115,0.0122,OK,PRELIMINARY-spring_overgrab
900,81,672,5000.0,8,5000000.0,4,2,26922-26910-26959-26873,222.0-234.0-666.0-678.0,2,2,0.0876,0.1192,0.078,0.106,0.0315,OK,PRELIMINARY-spring_overgrab
900,81,672,5000.0,8,100000000.0,4,2,26922-26910-26959-26873,222.0-234.0-666.0-678.0,2,2,0.0528,0.1,0.047,0.089,0.0472,OK,PRELIMINARY-spring_overgrab
